,title,addr,score
0,광고버터램,서울 송파구 충민로 81-9 1층,4.5
1,다운타우너 잠실,서울 송파구 백제고분로45길 3 1층,4.0
2,갓잇 송리단길점,서울 송파구 백제고분로45길 4-14 트리비유 1층,3.9
3,청와옥 본점,서울 송파구 위례성대로 48,3.6
4,라라브레드 송파점,서울 송파구 오금로16길 4,3.9
5,해주냉면,서울 송파구 백제고분로7길 8-16 1층,3.3
6,별미곱창 본점,서울 송파구 오금로11길 14,4.3
7,고도식,서울 송파구 백제고분로45길 28,3.8
8,청와옥 석촌호수직영점,서울 송파구 삼학사로 96,3.3
9,몽중헌 방이점,"서울 송파구 위례성대로 10 S타워 20, 21층",4.2
10,명인밥상,서울 송파구 송이로 157,3.1
11,잠수교집 3호점,서울 송파구 송파대로49길 51,3.6
12,봉피양 방이점 본관,서울 송파구 양재대로71길 5,3.7
13,엘리스리틀이태리,서울 송파구 백제고분로41길 43-21 1층,4.2
14,단디 송리단길본점,서울 송파구 백제고분로45길 7 1층,3.6
15,함경도찹쌀순대,서울 송파구 송파대로28길 32,3.8
16,배키욘방,서울 송파구 올림픽로32길 22-23 1층,3.2
17,평이담백 뼈칼국수 방이점,서울 송파구 위례성대로18길 31-12,4.5
18,오레노라멘 송파점,서울 송파구 백제고분로45길 17-3 1층 102호,4.6
19,툇마루밥상,서울 송파구 송파대로22길 11,3.6
20,오향가 가락본점,서울 송파구 송이로 106,4.0
21,군산오징어 잠실본점,서울 송파구 삼학사로 101 세준빌딩 1~3층,3.1
22,마싯내,서울 송파구 석촌호수로18길 7 수정빌딩 1층 102호,4.3
23,이성원쉐프의 청년감자탕순대국 방이동본점,서울 송파구 오금로19길 5,3.8
24,산들해 송파점,서울 송파구 위례성대로 6 현대토픽스 2층,3.1
25,제주오겹살왕돌구이집 방이동본점,서울 송파구 오금로15길 9-12,3.3
26,오복수산,서울 송파구 백제고분로45길 17-3 1층,3.4
27,온량,서울 송파구 백제고분로43길 4 은혜빌딩 1층,4.2
28,뉴질랜드스토리,서울 송파구 석촌호수로 268 경남레이크파크 1층,3.8
29,애슐리퀸즈 잠실롯데캐슬점,서울 송파구 올림픽로 269 지하1층,3.0
30,삿뽀로 방이점,서울 송파구 오금로11길 7 제이타워빌딩 2층,3.6
31,멘야하나비 서울본점,서울 송파구 백제고분로45길 38 1층,3.8
32,서울리즘,"서울 송파구 백제고분로 435 예스빌딩 1,6층",2.3
33,벨라스가든,서울 송파구 백제고분로41길 42-19,3.8
34,도요스6가,서울 송파구 백제고분로45길 40 트윈레이크팰리스빌 1층,4.6
35,일일향 잠실점,서울 송파구 석촌호수로 290,2.9
36,프레드릭베이커리,서울 송파구 오금로 137 1층,3.7
37,냠냠물고기,서울 송파구 송파대로30길 41-21 1층,3.8
38,늘푸른목장 잠실본점,서울 송파구 백제고분로9길 34,4.0
39,프로퍼커피바,서울 송파구 위례성대로22길 6 유진빌딩 1층,3.4
40,오린지,서울 송파구 송파대로48길 19 1층,4.0
41,대게나라 잠실본점,서울 송파구 오금로 165 1층,4.3
42,빠레뜨한남 석촌호수점,서울 송파구 오금로16길 10 1층,4.0
43,더베네치아,서울 송파구 올림픽로35다길 42 루터회관 3층,3.5
44,부일갈매기,서울 송파구 삼전로13길 4,4.2
45,제주은희네해장국 잠실직영점,서울 송파구 송파대로49길 10 1층,3.6
46,징기스 서울방이점,서울 송파구 올림픽로32길 33,3.6
47,젠젠 잠실점,서울 송파구 백제고분로45길 34 동방빌딩 2층,3.3
48,뷰클랜드,서울 송파구 백제고분로43길 10 1층,4.4
49,청화초밥,서울 송파구 오금로13길 14 1층,3.7
50,주은감자탕,서울 송파구 삼학사로 71 1층,2.5
51,서정적살롱,서울 송파구 석촌호수로 274,2.2
52,앙떼띠 잠실점,"서울 송파구 올림픽로 342 형인타워 1, 2층",4.0
53,바이킹스워프 롯데월드몰점,서울 송파구 올림픽로 300 롯데월드몰 4층,3.5
54,취영루 송파점,서울 송파구 송이로 162,3.8
55,방이샤브샤브칼국수 방이본점,서울 송파구 오금로31길 42,4.3
56,르빵 석촌점,서울 송파구 백제고분로41길 12,3.1
57,미엔아이 송파점,서울 송파구 오금로16길 5 1층 101호,4.2
58,서두산딤섬만두,서울 송파구 올림픽로32길 52 소은빌딩 1층 102호,3.8
59,육화식당,"서울 송파구 올림픽로32길 29 1,2층",4.3
60,골목떡볶이,서울 송파구 문정로1길 33,3.3
61,장칼집,서울 송파구 가락로6길 3,3.7
62,팔각동,서울 송파구 오금로17길 6 1층,4.0
63,피자네버슬립스,서울 송파구 백제고분로45길 6,3.9
64,진성한우곱창,서울 송파구 송파대로28길 27,3.2
65,오사카하루,서울 송파구 올림픽로32길 19-15,3.6
66,오쓰세이로무시,서울 송파구 백제고분로45길 30 1층 1호,3.4
67,청국장과보리밥 잠실점,서울 송파구 백제고분로20길 4,4.5
68,황도바지락칼국수,서울 송파구 백제고분로 358,3.6
69,필녀의한정식,서울 송파구 동남로 308,3.2
70,미자식당,서울 송파구 오금로18길 14,2.4
71,비와별닭갈비 잠실직영점,"서울 송파구 삼학사로 100 1, 2층",4.3
72,몬스타쉐프의 무한곱창,서울 송파구 올림픽로32길 22-13 동도빌딩 1층,2.0
73,피제리아라고,서울 송파구 백제고분로41길 39,4.4
74,콘메,서울 송파구 백제고분로42길 6-30 1층,4.4
75,송쉐프 석촌점,"서울 송파구 백제고분로 357 1,2층",2.6
76,본가설렁탕,서울 송파구 석촌호수로 204,3.2
77,홈수끼,서울 송파구 위례성대로 134,3.7
78,조선화로집 방이점,서울 송파구 오금로11길 10 1층,2.7
79,야끼소바 니주마루,서울 송파구 백제고분로41길 21 1층,4.5
80,차만다,서울 송파구 오금로18길 6 106호,4.1
81,레어마카롱 잠실점,서울 송파구 오금로 126,4.6
82,할머니 포장마차멸치국수,서울 송파구 오금로11길 59,3.7
83,돈까스의집,서울 송파구 삼전로 100 아카데미빌딩 1층,2.8
84,러반로제레스토랑 석촌호수점,서울 송파구 석촌호수로 274 씨엠빌딩 8층,4.3
85,소담정,서울 송파구 올림픽로32길 22-22,4.4
86,스시산,서울 송파구 석촌호수로 118 청호빌딩 2층,3.7
87,롯데호텔월드 라세느,서울 송파구 올림픽로 240 롯데호텔월드2층,3.6
88,밀회관 잠실새내점,서울 송파구 백제고분로9길 54,4.5
89,코벤트가든 올림픽공원점,서울 송파구 위례성대로 128 정화빌딩1층,3.3
90,풍년뼈다귀해장국,서울 송파구 가락로 94,3.2
91,화덕고깃간 신천본점,서울 송파구 백제고분로9길 23 1층,3.5
92,무한소 신천본점,서울 송파구 백제고분로9길 25,2.3
93,수원집,서울 송파구 송파대로 108,3.6
94,얼터너티브 커피로스터스,서울 송파구 백제고분로46길 26-1 신화빌딩 1층,3.8
95,카페이클립스,서울 송파구 송파대로49길 52 나인파크A 201호,4.1
96,디트로네 잠실점,서울 송파구 석촌호수로 258 아르누보팰리스 105호,3.3
97,프레스,서울 송파구 백제고분로45길 17-3 4층,3.4
98,지금보고싶다 방이점,서울 송파구 오금로11길 12 2층,3.5
99,송파감자국,서울 송파구 가락로 82 1층,4.6
100,명가원설농탕 석촌호수점,서울 송파구 오금로 105 덕림빌딩 1층,4.1
101,테이스티버거 2호점,서울 송파구 송파대로49길 50,4.1
102,에브리데이몬데이,서울 송파구 송파대로48길 14,4.3
103,한아람,서울 송파구 위례성대로 34 지산빌딩 2층,4.1
104,본가진미간장게장,서울 송파구 백제고분로 420 1층,3.6
105,평양만두한상,서울 송파구 양재대로71길 28-22 1층,4.5
106,강남면옥 신천점,"서울 송파구 올림픽로8길 21 성지빌딩 1,2층",1.8
107,돈블랑 석촌호수점,서울 송파구 석촌호수로 296 1층,4.3
108,진대감 방이점,서울 송파구 오금로13길 6 1층,3.4
109,카페노티드 잠실,서울 송파구 백제고분로45길 3 2층,3.1
110,부부횟집 서울점,서울 송파구 오금로18길 4,3.3
111,화포식당 가락점,서울 송파구 송파대로30길 11,4.5
112,꼬앙드파리,서울 송파구 마천로7길 18 1층,4.0
113,을밀대 잠실점,서울 송파구 오금로15길 7-13,3.5
114,위커파크,서울 송파구 석촌호수로 298 잠실대우레이크월드 103-1호,3.9
115,피치그레이,서울 송파구 가락로21길 14-1 1층,4.0
116,책발전소 위례,서울 송파구 위례광장로 230 C동 2층,2.6
117,태,서울 송파구 오금로11길 23,5.0
118,가락골마산아구찜,서울 송파구 송이로19길 3,3.8
119,역전할머니맥주 서울신천점,서울 송파구 올림픽로10길 16 1층,3.5
120,스시작,서울 송파구 양재대로71길 13 1층,4.8
121,부산양곱창,서울 송파구 백제고분로7길 50-1 1층,3.8
122,바베네,서울 송파구 백제고분로41길 42-11 1층,4.0
123,카페온화 송파점,서울 송파구 백제고분로45길 15 2층,2.9
124,부농정육식당,서울 송파구 백제고분로28길 29,4.3
125,경양카츠송리단길점,서울 송파구 백제고분로45길 12,3.5
126,별미곱창 방이1호점,서울 송파구 오금로11길 14 1층,3.4
127,중화일상,서울 송파구 백제고분로 401 골재회관 1층,4.1
128,짬뽕지존 송파점,서울 송파구 오금로 152 1층,3.7
129,디어블라썸커피,서울 송파구 올림픽로12길 23 1층,4.2
130,군자대한곱창 방이직영점,"서울 송파구 오금로11길 12 1층 103,104호",3.4
131,토닭토닭,서울 송파구 백제고분로45길 38,3.4
132,골드참치,서울 송파구 오금로 125,3.7
133,그리지하우스,서울 송파구 백제고분로41길 43-17 1층,3.9
134,담은갈비,서울 송파구 삼전로 93 1층,3.9
135,기유,서울 송파구 오금로11길 51 1층 103호,3.9
136,송리단취향,서울 송파구 백제고분로45길 20 1층,2.4
137,버터램,서울 송파구 충민로 81-9 1층,4.5
138,모꼬지에,서울 송파구 송파대로36길 5-13 지하1층,2.6
139,홍태관,서울 송파구 백제고분로7길 16-9,3.7
140,천사곱창 신천점,서울 송파구 백제고분로7길 32-10,3.7
141,벽돌집,서울 송파구 중대로9길 36,4.7
142,사시미 신천본점,서울 송파구 백제고분로7길 24 1층,3.7
143,남경막국수 신천점,서울 송파구 백제고분로7길 52-29 101호,3.6
144,라쁘띠,서울 송파구 가락로11길 19,2.7
145,삼청각,서울 송파구 송이로 151,3.1
146,방이편백육분삼십 방이본점,서울 송파구 위례성대로16길 25 금양빌딩 1층,3.8
147,미타우동,서울 송파구 삼전로12길 4 1층 101호,3.8
148,뽕사부,서울 송파구 백제고분로 498 1층,3.5
149,인딕슬로우 송리단길점,서울 송파구 백제고분로45길 28,4.2
150,가배도 송파점,서울 송파구 백제고분로45길 6 은진빌딩 2층 201호,3.3
151,1987루프탑라운지 잠실점,서울 송파구 올림픽로32길 11 혜성빌딩 9층,2.0
152,천미미,서울 송파구 송파대로28길 20 세화빌딩 1층,4.2
153,라이언하트,서울 송파구 석촌호수로 284 현대레이크빌 상가동 지하1층 104호,4.4
154,조광201,서울 송파구 새말로8길 13 2층,4.2
155,이경진우렁쌈밥정식 오금점,서울 송파구 중대로 310 1층,3.3
156,장수식당,서울 송파구 삼전로 95,4.1
157,황산냉면,서울 송파구 가락로 257,4.1
158,빌즈 잠실,서울 송파구 올림픽로 300 롯데월드몰 1층,2.9
159,일도씨찜닭,서울 송파구 석촌호수로 258 아르누보팰리스 1층,2.9
160,큰손닭한마리 잠실새내본점,서울 송파구 백제고분로15길 59 1층,3.9
161,하늘이네장칼국수,서울 송파구 오금로53길 37,4.8
162,교대이층집 방이점,서울 송파구 오금로11길 30 전원빌딩 2층,3.6
163,광양불고기,서울 송파구 백제고분로39길 6,2.8
164,아시안테이블 직영본점,서울 송파구 삼전로 100 아카데미빌딩 2층,3.5
165,당산오돌 방이점,서울 송파구 양재대로71길 2-7,4.1
166,도쿄등심 잠실점,서울 송파구 올림픽로 269 롯데캐슬프라자 2층,3.4
167,흥부골숯불돼지왕갈비,서울 송파구 백제고분로33길 35,3.9
168,아웃백스테이크하우스 잠실점,서울 송파구 송파대로 466,4.0
169,골든타이,서울 송파구 위례성대로 66,4.0
170,사람사는고깃집 김일도 가락본점,서울 송파구 송파대로30길 25 1층,3.7
171,아낙네그루브,서울 송파구 백제고분로45길 15 5층,3.0
172,동경산책 석촌호수점,서울 송파구 백제고분로45길 15 1층,3.4
173,화삼육,서울 송파구 백제고분로28길 35 지하,4.7
174,해우리 잠실역점,서울 송파구 송파대로 562 웰리스타워 3층,3.4
175,모터시티 잠실점,서울 송파구 백제고분로45길 17-3 2층,3.9
176,홍팥집 오금점,서울 송파구 성내천로 77 1층,3.8
177,인기명 방이점,서울 송파구 오금로15길 7-12 1층,3.4
178,별미곱창 방이2호점,서울 송파구 올림픽로32길 22,2.8
179,왕게수산 잠실직영점,"서울 송파구 백제고분로 114 우남빌딩 1, 2층",2.6
180,일월고기,서울 송파구 오금로15길 7-16 2층,4.1
181,차이나플레인 문정점,서울 송파구 법원로 128 SK V1 GL 메트로시티 3층 B318~B320호,4.6
182,파오파오 새마을시장본점,서울 송파구 석촌호수로12길 22,3.8
183,어랑,서울 송파구 동남로2길 27,4.2
184,동경레스펍태,서울 송파구 올림픽로32길 30 1~2층,3.2
185,스시선 방이점,서울 송파구 올림픽로32길 37,4.5
186,도삭면공방,서울 송파구 백제고분로7길 8-12,4.2
187,동래별장,서울 송파구 올림픽로32길 18-11,3.6
188,요리하는남자,서울 송파구 백제고분로7길 27,3.6
189,빈체로 올림픽공원점,서울 송파구 위례성대로 68 1층 102호,3.8
190,제로베이커리 잠실점,서울 송파구 올림픽로 354 1층,3.7
191,고인돌,서울 송파구 가락로18길 4-1,4.3
192,징기스 신천점,서울 송파구 백제고분로7길 28-6 1층,3.3
193,1954무한등심 잠실점,서울 송파구 올림픽로35길 124 장미종합상가 A 1층 101호,2.8
194,소담촌 가락시장직영점,서울 송파구 송파대로28길 13 거북이빌딩 2층,4.4
195,사람사는고깃집 김일도 방이점,서울 송파구 올림픽로32길 21 1층,2.9
196,코메또히또,서울 송파구 송파대로49길 31 1층,3.5
197,이공족발 새내본점,서울 송파구 백제고분로9길 26,4.5
198,딹 진또배기,서울 송파구 중대로9길 51 부성빌딩,3.8
199,리얼파스타 잠실점,서울 송파구 가락로 139 2층,4.2
200,수작나베 석촌점,서울 송파구 석촌호수로 234 라품미빌딩 1층,4.2
201,동방명주,서울 송파구 백제고분로 2,3.7
202,대갈곱창&막창 송파점,서울 송파구 백제고분로45길 21-1,3.2
203,마라고메 방이점,서울 송파구 올림픽로32길 13,3.4
204,오공복이 서울문정점,서울 송파구 법원로11길 7 C-122호,4.3
205,홀짝집,서울 송파구 백제고분로7길 16-16 1층,3.4
206,등촌샤브칼국수 방이점,서울 송파구 올림픽로30길 10 1층,3.8
207,제이스아메리칸,서울 송파구 올림픽로35가길 9 1층 138호,4.2
208,화반 방이점,서울 송파구 오금로13길 8,4.9
209,커피바이,서울 송파구 백제고분로17길 56 2층,4.1
210,서두산딤섬만두 2호점,서울 송파구 올림픽로32길 18-23 2층,4.1
211,쿠우쿠우 송파하비오점,서울 송파구 송파대로 111 205동 201호,3.0
212,할머니추어탕 잠실점,서울 송파구 백제고분로 139 1층,4.0
213,스타벅스 석촌호수점,"서울 송파구 석촌호수로 262 지상 1, 2층",3.7
214,찌마기 송파문정점,서울 송파구 새말로 146-1 장지빌딩,3.9
215,나무수 잠실점,서울 송파구 올림픽로8길 7,4.5
216,크래프트아일랜드 잠실점,"서울 송파구 올림픽로35가길 10 더샵스타파크상가 114,115호",4.7
217,밀회관 방이점,서울 송파구 올림픽로32길 29 1층,4.1
218,이월로스터스 송파점,서울 송파구 백제고분로45길 14,3.9
219,마노디셰프 잠실점,서울 송파구 송파대로 570 타워730 지하 1층,3.4
220,풍천장어마을 즉석숯불구이,서울 송파구 송파대로 54,4.5
221,삼백집 잠실직영점,서울 송파구 석촌호수로 240,3.1
222,오스테리아세콘디,서울 송파구 백제고분로42길 4-9 1층,3.9
223,대성정육식당,서울 송파구 석촌호수로12길 1-6,3.4
224,연안부두 2호점,서울 송파구 오금로13길 11 1층,4.2
225,큐스시,서울 송파구 위례성대로22나길 23 1층,4.3
226,천수횟집,서울 송파구 석촌호수로12길 10 1층,4.5
227,코히루,서울 송파구 오금로 148 2층,4.4
228,이현스시,서울 송파구 백제고분로45길 13,4.1
229,마시찜 신천점,서울 송파구 백제고분로7길 32-8 1층,4.2
230,노아베이커리 잠실엘스점,서울 송파구 올림픽로 119 파인애플 상가 1층 A 18호,3.9
231,램플러스 신천점,서울 송파구 백제고분로9길 36 1층,3.5
232,사사노하,서울 송파구 백제고분로42길 4-13 1층,4.2
233,뜬금커피,서울 송파구 석촌호수로18길 6 2층,3.3
234,숙달돼지 잠실방이점,서울 송파구 오금로13길 10-1 1층,3.6
235,돈족골 본점,서울 송파구 삼학사로 66,3.7
236,모토쿠라시,서울 송파구 백제고분로41길 27 2층,4.0
237,평화곱창,서울 송파구 백제고분로41길 27 1층,3.2
238,닌자스시,서울 송파구 백제고분로9길 35 1층,3.3
239,오붓식당,서울 송파구 위례광장로 120 상가동 203호,3.8
240,소문난곱창,서울 송파구 거마로22길 33,3.7
241,진대감 가락점,서울 송파구 중대로9길 34 1층,3.7
242,또봄,서울 송파구 오금로18길 10 101호,4.0
243,정목누룽지백숙,서울 송파구 위례성대로12길 11,3.8
244,쭈꾸미도사 방이점,서울 송파구 올림픽로32길 22 1층,4.6
245,함흥본가면옥 문정점,서울 송파구 법원로 114 엠스테이트 D동 301호,3.7
246,현차이나,서울 송파구 백제고분로48길 8 2층,3.4
247,뽀로로파크 잠실롯데월드점,서울 송파구 올림픽로 240 롯데월드 내,4.2
248,효월,서울 송파구 오금로18길 6 1층,3.1
249,스시유메,서울 송파구 올림픽로32길 49,4.5
250,비샵레스토랑,서울 송파구 위례성대로 71 한성백제박물관 2층,2.3
251,오뗄드니엔테,서울 송파구 백제고분로45길 4-21,3.4
252,안재식당,서울 송파구 삼전로9길 5-2 1층 103호,3.8
253,미성양꼬치,서울 송파구 올림픽로32길 19-6,3.2
254,츠쿠모,서울 송파구 올림픽로32길 58 1층,4.0
255,완도산회 문정점,서울 송파구 문정로 29,3.2
256,주문진해물한상,서울 송파구 오금로19길 9,3.7
257,라오빠빠,서울 송파구 송이로17길 57 1층,4.7
258,카페 페퍼,서울 송파구 백제고분로45길 12 2층,4.3
259,다케오호르몬데판야끼 송리단길점,서울 송파구 백제고분로45길 8 1층,2.1
260,경복궁 방이점,서울 송파구 올림픽로 348 2~4층 전관,2.8
261,쭈꾸미도사 잠실새내점,서울 송파구 백제고분로7길 30 1층,4.6
262,통큰갈비 잠실신천점,서울 송파구 백제고분로7길 28-11 영동빌딩,3.2
263,철판구이300도씨 신천본점,서울 송파구 백제고분로7길 28-17,4.0
264,송도갈비 문정역점,서울 송파구 법원로 128 SKV1 GL메트로시티 A동 201호,2.5
265,카페드로잉,서울 송파구 송파대로 111 파크하비오 202동 1층 166~170호,1.5
266,시루나무 문정본점,서울 송파구 새말로 134,4.1
267,만옥당,서울 송파구 백제고분로45길 9 2층,3.3
268,잉클링,서울 송파구 양재대로60길 3-5 보우빌딩 1층,4.0
269,라화쿵부 개롱점,서울 송파구 오금로46길 20,4.1
270,완도산회 문정점,서울 송파구 문정로 29,3.2
271,주문진해물한상,서울 송파구 오금로19길 9,3.7
272,라오빠빠,서울 송파구 송이로17길 57 1층,4.7
273,카페 페퍼,서울 송파구 백제고분로45길 12 2층,4.3
274,다케오호르몬데판야끼 송리단길점,서울 송파구 백제고분로45길 8 1층,2.1
275,경복궁 방이점,서울 송파구 올림픽로 348 2~4층 전관,2.8
276,쭈꾸미도사 잠실새내점,서울 송파구 백제고분로7길 30 1층,4.6
277,통큰갈비 잠실신천점,서울 송파구 백제고분로7길 28-11 영동빌딩,3.2
278,철판구이300도씨 신천본점,서울 송파구 백제고분로7길 28-17,4.0
279,송도갈비 문정역점,서울 송파구 법원로 128 SKV1 GL메트로시티 A동 201호,2.5
280,카페드로잉,서울 송파구 송파대로 111 파크하비오 202동 1층 166~170호,1.5
281,시루나무 문정본점,서울 송파구 새말로 134,4.1
282,만옥당,서울 송파구 백제고분로45길 9 2층,3.3
283,잉클링,서울 송파구 양재대로60길 3-5 보우빌딩 1층,4.0
284,라화쿵부 개롱점,서울 송파구 오금로46길 20,4.1
285,삼광호수,서울 송파구 송파대로49길 58,2.2
