대여소번호,대여소명,자치구,도로명주소,위도,경도,대여건수
502 ,뚝섬유원지역 1번출구 앞,광진구,서울특별시 광진구 능동로 10,37.53186,127.067192,65025
207 ,여의나루역 1번출구 앞,영등포구,서울특별시 영등포구 여의동로 지하343,37.526989,126.932098,60385
2102 ,봉림교 교통섬,관악구,서울특별시 관악구 관천로 52,37.48423,126.926392,50122
152 ,마포구민체육센터 앞,마포구,서울특별시 마포구 망원동 452-4,37.55661,126.898018,45546
1153 ,"발산역 1번, 9번 인근 대여소",강서구,서울특별시 강서구 공항대로 281,37.55891,126.838097,39344
2177 ,신대방역 2번 출구,관악구,서울특별시 관악구 신림동 신대방역 2번출구,37.487129,126.913017,36403
583 ,청계천 생태교실 앞,성동구,서울특별시 성동구 마장로39길 51,37.56797,127.04689,35489
1210 ,롯데월드타워(잠실역2번출구 쪽),송파구,서울특별시 송파구 올림픽로 293-19,37.513126,127.10096,34705
1160 ,양천향교역 7번출구앞,강서구,서울특별시 강서구 양천로 지하 341,37.56768,126.840897,34057
272 ,당산육갑문,영등포구,서울특별시 영등포구 당산로52길 3,37.535339,126.903679,32856
2715 ,마곡나루역 2번 출구,강서구,서울특별시 강서구 마곡중앙5로 6 ,37.566883,126.827683,32441
565 ,옥수역 3번출구,성동구,서울특별시 성동구 한림말길 56,37.541363,127.017662,32135
1906 ,신도림역 1번 출구 앞,구로구,서울특별시 구로구 경인로 688,37.50972,126.890099,31642
1911 ,구로디지털단지역 앞,구로구,서울특별시 구로구 시흥대로 577-2,37.48494,126.901321,31578
247 ,당산역 10번출구 앞,영등포구,서울특별시 영등포구 당산동5가 14-4,37.533688,126.902107,31429
1158 ,가양역 8번출구,강서구,서울특별시 강서구 양천로 지하 485,37.561035,126.854813,30559
2183 ,동방1교,관악구,서울특별시 관악구 신림로 144,37.471828,126.933922,30444
210 ,IFC몰,영등포구,서울특별시 영등포구 국제금융로 10,37.526066,126.925537,30028
3533 ,건대입구역 사거리(롯데백화점),광진구,서울특별시 광진구 자양동 227-337,37.539139,127.070618,29329
2219 ,"고속터미널역 8-1번, 8-2번 출구 사이",서초구,서울특별시 서초구 신반포로 지하 188,37.506199,127.003944,29276
2701,마곡나루역 5번출구 뒤편,강서구,강서구 마곡동 761-5,37.565201,126.827316,28502
1149,신방화역환승주차장,강서구,서울특별시 강서구 마곡서1로 111-12,37.567284,126.818275,27913
230,영등포구청역 1번출구,영등포구,서울특별시 영등포구 당산로 111-2,37.524635,126.896217,27567
907,CJ 드림시티,은평구,서울특별시 은평구 역촌동 43-11,37.599491,126.916862,27085
1608,공릉역 1번 출구 앞,노원구,서울특별시 노원구 동일로 지하 1074,37.626614,127.072754,27082
1308,안암로터리 버스정류장 앞,성북구,서울특별시 성북구 안암로 69,37.582592,127.028976,26681
2173,당곡사거리,관악구,서울특별시 관악구 보라매로 3,37.48975,126.927467,25642
114,홍대입구역 8번출구 앞,마포구,서울특별시 마포구 양화로18길 3,37.55706,126.924423,25489
1118,증미역 3번출구뒤(등촌두산위브센티움오피스텔),강서구,서울특별시 강서구 양천로 지하 560,37.557461,126.861458,25283
765,오목교역 3번출구,양천구,서울특별시 양천구 목동동로 270,37.524776,126.875481,25243
1209,잠실나루역 (2번 출구 쪽),송파구,서울특별시 송파구 오금로 20,37.520451,127.104202,25234
2622,올림픽공원역 3번출구,송파구,송파구 방이동 89-28,37.516258,127.130592,25114
3511,응봉역 1번출구,성동구,서울특별시 성동구 고산자로 123,37.55125,127.035103,25043
703,오목교역 7번출구 앞,양천구,서울특별시 양천구 목동 451,37.524063,126.87558,24757
1152,마곡역교차로,강서구,서울특별시 강서구 마곡동 728-168,37.558666,126.826614,24651
274,영등포역지하쇼핑센타 5번출구,영등포구,서울특별시 영등포구 경인로 846,37.516651,126.90799,23985
1961,신도림테크노근린공원,구로구,서울특별시 구로구 새말로 121-15,37.508194,126.891304,23815
228,선유도역 3번출구 앞,영등포구,서울특별시 영등포구 양평동4가 202-1,37.53846,126.894508,23271
770,목동역5번출구 교통정보센터 앞,양천구,양천구 목동로 186,37.525715,126.864868,23265
106,합정역 7번출구 앞,마포구,서울특별시 마포구 독막로 4,37.548645,126.912827,23224
1112,마곡엠밸리4단지 정문,강서구,서울특별시 강서구 마곡서로 175,37.568577,126.824776,23184
1295,잠실역 8번출구,송파구,송파구 신천동 8,37.513962,127.100304,23095
2621,한성백제역 2번 출구,송파구,송파구 방이동 11,37.516659,127.116257,23069
284,센트럴 푸르지오 시티 앞,영등포구,문래로 180,37.518211,126.902229,22871
1050,둔촌역 3번 출입구,강동구,서울특별시 강동구 양재대로 1355,37.526695,127.135529,22624
1653,노원역1번출구,노원구,서울특별시 노원구 상계동 335-4,37.6562,127.063622,22325
202,국민일보 앞,영등포구,서울특별시 영등포구 여의공원로 101,37.528816,126.92453,22322
1009,천호역4번출구(현대백화점),강동구,서울특별시 강동구 천호대로 지하 997,37.538658,127.124214,22269
